Date,Open,High,Low,Close,Adj Close,Volume
22-02-2024,480.23999,489.98999,476.059998,486.130005,486.130005,21625800
10-09-2021,381.359985,383.790009,378.26001,378.690002,378.288635,11549600
01-03-2022,209.869995,211.75,202.220001,203.490005,203.274323,27094900
22-01-2024,387.950012,390.350006,381.160004,381.779999,381.375366,17680500
03-04-2024,498.929993,507.23999,498.75,506.73999,506.73999,12099200
01-09-2023,299.369995,301.73999,294.470001,296.380005,296.065887,12819800
03-11-2022,90.080002,90.459999,88.410004,88.910004,88.815765,60664000
08-01-2021,268.309998,268.950012,263.179993,267.570007,267.286407,18528300
03-05-2021,326.170013,328.549988,321.839996,322.579987,322.238098,18719500
24-01-2020,220.800003,221.779999,216.110001,217.940002,217.709015,11905800
03-10-2023,304.26001,306.769989,299.640015,300.940002,300.621033,17362300
16-04-2021,308.170013,308.950012,304.609985,306.179993,305.855469,13059200
03-07-2023,286.700012,289.399994,284.850006,286.019989,285.716827,8629300
17-11-2020,277.679993,277.679993,273.290009,275.0,274.708527,15040300
17-09-2020,258.279999,261.5,250.190002,254.820007,254.549927,31281400
26-05-2020,239.770004,240.899994,231.669998,232.199997,231.953888,33178300
26-01-2022,307.01001,307.51001,290.850006,294.630005,294.317719,28348800
04-02-2020,206.619995,210.600006,205.199997,209.830002,209.607605,19628900
02-06-2021,330.380005,331.869995,327.119995,329.149994,328.801117,11654300
02-02-2023,183.380005,197.160004,180.160004,188.770004,188.569931,150475700
18-12-2023,337.480011,347.559998,337.019989,344.619995,344.25473,18993900
30-03-2023,203.380005,208.089996,202.820007,207.839996,207.619705,22608300
10-05-2021,314.350006,314.579987,304.829987,305.970001,305.645721,24239200
17-09-2021,371.410004,371.410004,361.589996,364.720001,364.333435,26299000
28-03-2023,200.149994,201.029999,197.899994,200.679993,200.4673,19127300
01-11-2023,301.850006,312.73999,301.850006,311.850006,311.51947,20434600
21-10-2020,279.559998,283.049988,276.369995,278.730011,278.434601,28998600
06-06-2023,270.140015,276.570007,269.690002,271.119995,270.832642,19419000
15-05-2020,205.270004,211.339996,204.119995,210.880005,210.656494,19383200
01-08-2022,157.25,165.190002,155.229996,159.929993,159.760483,40596700
09-04-2020,175.899994,177.080002,171.570007,175.190002,175.004318,23534300
17-11-2022,110.410004,112.330002,109.800003,111.449997,111.331871,35093800
18-02-2021,269.570007,271.950012,266.029999,269.390015,269.104492,15249100
13-09-2023,302.359985,307.179993,301.320007,305.059998,304.736664,13210900
22-09-2021,347.230011,349.839996,340.690002,343.209991,342.846222,43692900
11-08-2020,260.190002,265.920013,255.130005,256.130005,255.858536,28238300
21-04-2020,175.25,175.380005,168.339996,170.800003,170.618973,24850500
18-05-2023,241.300003,247.089996,241.190002,246.850006,246.588379,22943300
21-04-2022,201.600006,202.970001,185.580002,188.070007,187.870667,49954100
08-10-2021,331.51001,333.399994,328.709991,330.049988,329.700165,15946100
